danceability	band	value
0.30	low_spotipy	0,030031376
0.30	madcool_spotipy	0,030922218
0.30	ps_spotipy	0,044280443
0.30	ressurrection_fest_spotipy	0,065572088
0.30	rock_fest_bcn_spotipy	0,059557388
0.30	sonar_spotipy	0,021441202
0.30	vida_spotipy	0,029721956
0.30	wam_murcia_spotipy	0,024150268
0.33	al_rumbo_spotipy	0,009184225
0.33	arenal_spotipy	0,016213245
0.33	bbk_spotipy	0,024846835
0.33	cruilla_spotipy	0,015148038
0.33	download_spotipy	0,052372583
0.33	dreambeach_spotipy	0,018840225
0.33	fib_spotipy	0,044741579
0.33	low_spotipy	0,042133572
0.33	madcool_spotipy	0,032965536
0.33	ps_spotipy	0,045394416
0.33	ressurrection_fest_spotipy	0,062288353
0.33	rock_fest_bcn_spotipy	0,066825776
0.33	sonar_spotipy	0,026304156
0.33	vida_spotipy	0,034995206
0.33	wam_murcia_spotipy	0,037268933
0.36	al_rumbo_spotipy	0,016747704
0.36	arenal_spotipy	0,025831272
0.36	bbk_spotipy	0,041524847
0.36	cruilla_spotipy	0,028000918
0.36	download_spotipy	0,062038664
0.36	dreambeach_spotipy	0,022999755
0.36	fib_spotipy	0,049884289
0.36	low_spotipy	0,049305244
0.36	madcool_spotipy	0,041683694
0.36	ps_spotipy	0,049223700
0.36	ressurrection_fest_spotipy	0,064032837
0.36	rock_fest_bcn_spotipy	0,070839662
0.36	sonar_spotipy	0,022988506
0.36	vida_spotipy	0,043624161
0.36	wam_murcia_spotipy	0,028920692
0.39	al_rumbo_spotipy	0,023230686
0.39	arenal_spotipy	0,039571311
0.39	bbk_spotipy	0,039142274
0.39	cruilla_spotipy	0,029837044
0.39	download_spotipy	0,061511424
0.39	dreambeach_spotipy	0,032542207
0.39	fib_spotipy	0,056569812
0.39	low_spotipy	0,064993277
0.39	madcool_spotipy	0,048767198
0.39	ps_spotipy	0,044210819
0.39	ressurrection_fest_spotipy	0,057875834
0.39	rock_fest_bcn_spotipy	0,070188761
0.39	sonar_spotipy	0,029619805
0.39	vida_spotipy	0,050814957
0.39	wam_murcia_spotipy	0,042337507
0.41	al_rumbo_spotipy	0,030253917
0.41	arenal_spotipy	0,046166529
0.41	bbk_spotipy	0,033015657
0.41	cruilla_spotipy	0,042460409
0.41	download_spotipy	0,070298770
0.41	dreambeach_spotipy	0,037435772
0.41	fib_spotipy	0,048598611
0.41	low_spotipy	0,058269834
0.41	madcool_spotipy	0,052717613
0.41	ps_spotipy	0,044558936
0.41	ressurrection_fest_spotipy	0,058902001
0.41	rock_fest_bcn_spotipy	0,078325016
0.41	sonar_spotipy	0,033377542
0.41	vida_spotipy	0,039309684
0.41	wam_murcia_spotipy	0,041741205
0.44	al_rumbo_spotipy	0,029173420
0.44	arenal_spotipy	0,046441330
0.44	bbk_spotipy	0,058543227
0.44	cruilla_spotipy	0,046132660
0.44	download_spotipy	0,092267135
0.44	dreambeach_spotipy	0,053095180
0.44	fib_spotipy	0,056055541
0.44	low_spotipy	0,070372030
0.44	madcool_spotipy	0,048086092
0.44	ps_spotipy	0,049014830
0.44	ressurrection_fest_spotipy	0,060338635
0.44	rock_fest_bcn_spotipy	0,071599045
0.44	sonar_spotipy	0,035366932
0.44	vida_spotipy	0,048897411
0.44	wam_murcia_spotipy	0,066487776
0.47	al_rumbo_spotipy	0,034035656
0.47	arenal_spotipy	0,055784556
0.47	bbk_spotipy	0,058202859
0.47	cruilla_spotipy	0,057149415
0.47	download_spotipy	0,081898067
0.47	dreambeach_spotipy	0,052850502
0.47	fib_spotipy	0,055026999
0.47	low_spotipy	0,072613178
0.47	madcool_spotipy	0,048630977
0.47	ps_spotipy	0,045603286
0.47	ressurrection_fest_spotipy	0,069881991
0.47	rock_fest_bcn_spotipy	0,068344543
0.47	sonar_spotipy	0,035145889
0.47	vida_spotipy	0,049376798
0.47	wam_murcia_spotipy	0,061121049
0.49	al_rumbo_spotipy	0,051323609
0.49	arenal_spotipy	0,068974993
0.49	bbk_spotipy	0,073179033
0.49	cruilla_spotipy	0,054624742
0.49	download_spotipy	0,077680141
0.49	dreambeach_spotipy	0,061903597
0.49	fib_spotipy	0,060941116
0.49	low_spotipy	0,081129538
0.49	madcool_spotipy	0,061844435
0.49	ps_spotipy	0,048109726
0.49	ressurrection_fest_spotipy	0,061980503
0.49	rock_fest_bcn_spotipy	0,072466913
0.49	sonar_spotipy	0,043545535
0.49	vida_spotipy	0,059923298
0.49	wam_murcia_spotipy	0,066785927
0.52	al_rumbo_spotipy	0,054565100
0.52	arenal_spotipy	0,063753779
0.52	bbk_spotipy	0,062968005
0.52	cruilla_spotipy	0,062887308
0.52	download_spotipy	0,063268893
0.52	dreambeach_spotipy	0,065573770
0.52	fib_spotipy	0,066855233
0.52	low_spotipy	0,080233079
0.52	madcool_spotipy	0,060073559
0.52	ps_spotipy	0,048875583
0.52	ressurrection_fest_spotipy	0,047101077
0.52	rock_fest_bcn_spotipy	0,056411369
0.52	sonar_spotipy	0,048408488
0.52	vida_spotipy	0,061361457
0.52	wam_murcia_spotipy	0,081693500
0.55	al_rumbo_spotipy	0,066990816
0.55	arenal_spotipy	0,079692223
0.55	bbk_spotipy	0,065690946
0.55	cruilla_spotipy	0,076428735
0.55	download_spotipy	0,033216169
0.55	dreambeach_spotipy	0,065084414
0.55	fib_spotipy	0,067112368
